CUIT: 30-65703377-0 - Fecha de emisión: 27/03/2026
Fecha Operación,Formulario,Version,Impuesto,Periodo,Importe,Observaciones
"=""07/05/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20250400""","=""$ 1.855.580,73""","=""02 - Comprobante general"""
"=""07/05/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20250400""","=""$ 602.740,30""","=""02 - Comprobante general"""
"=""07/05/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20250400""","=""$ 1.875.640,12""","=""02 - Comprobante general"""
"=""07/05/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20250400""","=""$ 6.693,60""","=""02 - Comprobante general"""
"=""07/05/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20250400""","=""$ 525.871,96""","=""02 - Comprobante general"""
"=""21/04/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250400""","=""$ 22.726,90""","=""02 - Comprobante general"""
"=""16/04/2025""","=""800""","=""0""","=""30 - IVA""","=""20250200""","=""$ 3.460.235,58""","=""02 - Comprobante general"""
"=""07/04/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20250300""","=""$ 1.809.719,45""","=""02 - Comprobante general"""
"=""07/04/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20250300""","=""$ 1.595.200,73""","=""02 - Comprobante general"""
"=""07/04/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20250300""","=""$ 512.261,12""","=""02 - Comprobante general"""
"=""07/04/2025""","=""1931""","=""0""","=""312 - ASEG.RIESGO DE TRABAJO L 24557""","=""20250300""","=""$ 578.896,55""","=""02 - Comprobante general"""
"=""07/04/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20250300""","=""$ 5.689,56""","=""02 - Comprobante general"""
"=""07/04/2025""","=""1931""","=""0""","=""352 - CONTRIBUCIONES OBRA SOCIAL""","=""20250300""","=""$ 687.616,08""","=""02 - Comprobante general"""
"=""19/03/2025""","=""800""","=""0""","=""217 - SICORE-IMPTO.A LAS GANANCIAS""","=""20250300""","=""$ 22.726,90""","=""02 - Comprobante general"""
"=""14/03/2025""","=""800""","=""0""","=""30 - IVA""","=""20241200""","=""$ 15.826.636,98""","=""02 - Comprobante general"""
"=""11/03/2025""","=""800""","=""0""","=""30 - IVA""","=""20241200""","=""$ 15.000.000,00""","=""02 - Comprobante general"""
"=""07/03/2025""","=""1931""","=""0""","=""28 - SEGURO DE VIDA COLECTIVO""","=""20250200""","=""$ 2.990,13""","=""02 - Comprobante general"""
"=""07/03/2025""","=""1931""","=""0""","=""301 - EMPLEADOR-APORTES SEG. SOCIAL""","=""20250200""","=""$ 1.866.114,86""","=""02 - Comprobante general"""
"=""07/03/2025""","=""1931""","=""0""","=""302 - APORTES OBRAS SOCIALES""","=""20250200""","=""$ 515.286,07""","=""02 - Comprobante general"""
"=""07/03/2025""","=""1931""","=""0""","=""351 - CONTRIBUCIONES SEG. SOCIAL""","=""20250200""","=""$ 1.572.541,64""","=""02 - Comprobante general"""
